**marca** | **admis la** |
| --------- | ------------ |
| 14-7086   | SISC         |
| 14-7088   | SISC         |
| 14-7115   | SISC         |
| 14-7116   | SISC         |
| 14-7117   | SISC         |
| 14-7118   | SISC         |
| 14-7119   | SISC         |
| 14-6955   | TI           |
| 14-6957   | TI           |
| 14-6961   | TI           |
| 14-6962   | TI           |
| 14-6963   | TI           |
| 14-6970   | TI           |
| 14-6972   | TI           |
| 14-6974   | TI           |
| 14-6988   | TI           |
| 14-6993   | TI           |
| 14-7006   | TI           |
| 14-7012   | TI           |
| 14-7015   | TI           |
| 14-7020   | TI           |
| 14-7023   | TI           |
| 14-7026   | TI           |
| 14-7065   | TI           |
| 14-7071   | TI           |
| 14-7081   | TI           |
| 14-7089   | TI           |
| 14-7095   | TI           |
| 14-7105   | TI           |
| 14-7107   | TI           |
| 14-7111   | TI           |
| 14-7125   | TI           |
| 14-7127   | TI           |
| 14-7128   | TI           |
| 14-7130   | TI           |
| 14-7133   | TI           |
| 14-6608   | TCCIOT       |
| 14-6616   | TCCIOT       |
| 14-6505   | TML          |
| 14-6508   | TML          |
| 14-6511   | TML          |
| 14-6571   | TML          |
| 14-6579   | TML          |
| 14-6592   | TML          |
| 14-6613   | TML          |
| 14-6615   | TML          |
| 14-6617   | TML          |
| 14-6538   | TSE          |
| 14-6558   | TSE          |
| 14-6568   | TSE          |
| 14-6609   | TSE          |
| 14-7103   | TSIAPS       |
| 14-6557   | TSISC        |
| 14-6964   | TSISC        |
| 14-7042   | TSISC        |
| 14-7110   | TSISC        |
| 14-7131   | TSISC        |
| 14-7123   | TTI          |
| 14-6580   | respins      |
| 14-6589   | respins      |
| 14-6605   | respins      |
| 14-6958   | respins      |
| 14-6965   | respins      |
| 14-6981   | respins      |
| 14-6982   | respins      |
| 14-7001   | respins      |
| 14-7013   | respins      |
| 14-7028   | respins      |
| 14-7051   | respins      |
| 14-7068   | respins      |
| 14-7076   | respins      |
| 14-7083   | respins      |
| 14-7087   | respins      |
| 14-7100   | respins      |
| 14-7102   | respins      |
